split_type,policy,target,train_rows,median_abs_error,p95_abs_error,model_method
leave_session_64,taps_unified_adaptive_v6,p95_jct,87,7.543834480212553,28.071411962124976,numpy_ridge
leave_session_64,taps_unified_adaptive_v6,mean_jct,87,4.16565004387563,12.762950929128559,numpy_ridge
leave_session_64,taps_unified_adaptive_v6,throughput,87,0.014612528057222074,0.05785123229972443,numpy_ridge
leave_session_64,taps_unified_adaptive_v6,ready_queue_wait,87,766.371983819399,2703.6698994791177,numpy_ridge
leave_session_64,taps_unified_adaptive_v6,region_utilization,87,0.06214703662060861,0.16311732118841507,numpy_ridge
leave_session_128,reactive_admission,p95_jct,86,3.242738060112103,8.957491871848458,numpy_ridge
leave_session_128,reactive_admission,mean_jct,86,2.7385916103094203,8.373106903932133,numpy_ridge
leave_session_128,reactive_admission,throughput,86,0.008379796469353662,0.021027284304648793,numpy_ridge
leave_session_128,reactive_admission,ready_queue_wait,86,378.4581902086687,1222.6382214881814,numpy_ridge
leave_session_128,reactive_admission,region_utilization,86,0.04946875131040129,0.1002216179443155,numpy_ridge
leave_session_128,acd_nisp,p95_jct,86,3.242738060112103,8.957491871848458,numpy_ridge
leave_session_128,acd_nisp,mean_jct,86,2.7385916103094203,8.373106903932133,numpy_ridge
leave_session_128,acd_nisp,throughput,86,0.008379796469353662,0.021027284304648793,numpy_ridge
leave_session_128,acd_nisp,ready_queue_wait,86,378.4581902086687,1222.6382214881814,numpy_ridge
leave_session_128,acd_nisp,region_utilization,86,0.04946875131040129,0.1002216179443155,numpy_ridge
leave_session_128,taps_domain_v4,p95_jct,86,8.410809110520063,27.48857288550808,numpy_ridge
leave_session_128,taps_domain_v4,mean_jct,86,2.8692921184569684,6.090186786736771,numpy_ridge
leave_session_128,taps_domain_v4,throughput,86,0.008207737264117304,0.01896838221877255,numpy_ridge
leave_session_128,taps_domain_v4,ready_queue_wait,86,286.1267406250697,910.9546678357964,numpy_ridge
leave_session_128,taps_domain_v4,region_utilization,86,0.05650300778417017,0.17242928014834813,numpy_ridge
leave_session_128,taps_admission_v4,p95_jct,86,6.541551619938829,22.122373185199038,numpy_ridge
leave_session_128,taps_admission_v4,mean_jct,86,2.8858982851858244,8.303434637635114,numpy_ridge
leave_session_128,taps_admission_v4,throughput,86,0.0069987309988370355,0.018036832066216403,numpy_ridge
leave_session_128,taps_admission_v4,ready_queue_wait,86,429.6538102589453,1394.8576393324975,numpy_ridge
leave_session_128,taps_admission_v4,region_utilization,86,0.03826740845523677,0.08050758528449023,numpy_ridge
leave_session_128,taps_unified_v5,p95_jct,86,6.379119097948475,29.441703870486833,numpy_ridge
leave_session_128,taps_unified_v5,mean_jct,86,2.548078287934196,8.780082644521231,numpy_ridge
leave_session_128,taps_unified_v5,throughput,86,0.010885152469333262,0.031057137285099016,numpy_ridge
leave_session_128,taps_unified_v5,ready_queue_wait,86,327.91159685165246,1423.435268699839,numpy_ridge
leave_session_128,taps_unified_v5,region_utilization,86,0.047774855649297066,0.14956370802289184,numpy_ridge
leave_session_128,taps_unified_adaptive_v6,p95_jct,86,5.239703014550599,25.344601770829744,numpy_ridge
leave_session_128,taps_unified_adaptive_v6,mean_jct,86,3.539931822665718,12.944580477822075,numpy_ridge
