policy,sessions,arrival_pattern,effective_regions,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_batch_size,domain_switches,completed_sessions,algorithm,split,objective,p95_gain_vs_base,throughput_gain_vs_base,cfg_w_domain,cfg_w_batch,cfg_w_hot,cfg_w_resume,cfg_w_age,cfg_w_short,cfg_w_remote,cfg_w_evict,cfg_tau,total_sessions,active_session_limit,throughput,ready_queue_empty_time,blocked_session_fraction,admission_count,eviction_count,cfg_w_reuse,cfg_w_llm,cfg_w_stall,cfg_w_sram,cfg_w_tool_penalty,mean_cost_to_patch,mean_tokens_to_patch,patch_instances,cfg_w_patch,cfg_w_test,cfg_w_return,cfg_w_file,cfg_w_duplicate,cfg_w_error,cfg_w_token,cfg_w_stale
taps_admission,,,4,,36.47421005781347,,54.092857310312695,138.78035660189764,,0.939171737016908,,,,,,64,taps_admission,train,57.72095843293929,0.08645711908367863,1.849030240788671,,,,,,,,,,64,16,0.3863976630950411,17.602627402177774,0.10240002705154737,64,0,0.5,0,1.0,0,0,,,,,,,,,,,
taps_admission,,,4,,36.614355824599166,,65.02462713300609,143.5641893388978,,0.9866315574263772,,,,,,64,taps_admission,train,68.66576652718119,-0.09816319853140687,1.9930022729948984,,,,,,,,,,64,16,0.4059237656962303,4.340075650861124,0.10770886699948737,64,0,0.5,0,1.0,0,0.5,,,,,,,,,,,
taps_admission,,,4,,38.17493327786288,,67.3378274067685,130.38718132125234,,0.6365521971859395,,,,,,64,taps_admission,train,71.14222609638924,-0.13722949577110644,0.9310168610733701,,,,,,,,,,64,16,0.2618927633106922,100.44649533470567,0.09313184088328338,64,0,0.5,0,1.0,0,1.0,,,,,,,,,,,
taps_admission,,,4,,36.47421005781347,,54.092857310312695,138.78035660189764,,0.939171737016908,,,,,,64,taps_admission,train,57.72095843293929,0.08645711908367863,1.849030240788671,,,,,,,,,,64,16,0.3863976630950411,17.602627402177774,0.10240002705154737,64,0,0.5,0,1.0,0.5,0,,,,,,,,,,,
taps_admission,,,4,,36.614355824599166,,65.02462713300609,143.5641893388978,,0.9866315574263772,,,,,,64,taps_admission,train,68.66576652718119,-0.09816319853140687,1.9930022729948984,,,,,,,,,,64,16,0.4059237656962303,4.340075650861124,0.10770886699948737,64,0,0.5,0,1.0,0.5,0.5,,,,,,,,,,,
taps_admission,,,4,,38.17493327786288,,67.3378274067685,130.38718132125234,,0.6365521971859395,,,,,,64,taps_admission,train,71.14222609638924,-0.13722949577110644,0.9310168610733701,,,,,,,,,,64,16,0.2618927633106922,100.44649533470567,0.09313184088328338,64,0,0.5,0,1.0,0.5,1.0,,,,,,,,,,,
taps_admission,,,4,,36.47421005781347,,54.092857310312695,138.78035660189764,,0.939171737016908,,,,,,64,taps_admission,train,57.72095843293929,0.08645711908367863,1.849030240788671,,,,,,,,,,64,16,0.3863976630950411,17.602627402177774,0.10240002705154737,64,0,0.5,0,2.0,0,0,,,,,,,,,,,
taps_admission,,,4,,36.97264378192909,,64.01986099130089,139.58618785606006,,0.9141016807019033,,,,,,64,taps_admission,train,67.6983212073085,-0.08119428615772914,1.7729788161508364,,,,,,,,,,64,16,0.376083243706157,17.174177853589043,0.10231400818257842,64,0,0.5,0,2.0,0,0.5,,,,,,,,,,,
taps_admission,,,4,,36.614355824599166,,65.02462713300609,143.5641893388978,,0.9866315574263772,,,,,,64,taps_admission,train,68.66576652718119,-0.09816319853140687,1.9930022729948984,,,,,,,,,,64,16,0.4059237656962303,4.340075650861124,0.10770886699948737,64,0,0.5,0,2.0,0,1.0,,,,,,,,,,,
taps_admission,,,4,,36.47421005781347,,54.092857310312695,138.78035660189764,,0.939171737016908,,,,,,64,taps_admission,train,57.72095843293929,0.08645711908367863,1.849030240788671,,,,,,,,,,64,16,0.3863976630950411,17.602627402177774,0.10240002705154737,64,0,0.5,0,2.0,0.5,0,,,,,,,,,,,
taps_admission,,,4,,36.97264378192909,,64.01986099130089,139.58618785606006,,0.9141016807019033,,,,,,64,taps_admission,train,67.6983212073085,-0.08119428615772914,1.7729788161508364,,,,,,,,,,64,16,0.376083243706157,17.174177853589043,0.10231400818257842,64,0,0.5,0,2.0,0.5,0.5,,,,,,,,,,,
taps_admission,,,4,,36.614355824599166,,65.02462713300609,143.5641893388978,,0.9866315574263772,,,,,,64,taps_admission,train,68.66576652718119,-0.09816319853140687,1.9930022729948984,,,,,,,,,,64,16,0.4059237656962303,4.340075650861124,0.10770886699948737,64,0,0.5,0,2.0,0.5,1.0,,,,,,,,,,,
taps_admission,,,4,,38.375490413119174,,65.82373855671754,134.3445627965678,,0.7725318119128527,,,,,,64,taps_admission,train,69.64539569695194,-0.11165892769954096,1.3435186636918133,,,,,,,,,,64,16,0.31783802155061036,56.222892029991726,0.08849061169969237,64,0,0.5,0.5,0,0,0,,,,,,,,,,,
taps_admission,,,4,,37.107088489535386,,66.80819137943456,132.23524560375924,,0.695694551933019,,,,,,64,taps_admission,train,70.50458896142277,-0.12828478021518633,1.1104285176901736,,,,,,,,,,64,16,0.2862253393066397,80.81761441979481,0.08505868392148845,64,0,0.5,0.5,0,0,0.5,,,,,,,,,,,
taps_admission,,,4,,37.71986290118681,,63.34296489756872,132.20699401262578,,0.6967430393923529,,,,,,64,taps_admission,train,67.10061835208408,-0.06976258078484256,1.1136091633175835,,,,,,,,,,64,16,0.2866567120663842,82.72989613938418,0.09043755022400685,64,0,0.5,0.5,0,0,1.0,,,,,,,,,,,
taps_admission,,,4,,38.375490413119174,,65.82373855671754,134.3445627965678,,0.7725318119128527,,,,,,64,taps_admission,train,69.64539569695194,-0.11165892769954096,1.3435186636918133,,,,,,,,,,64,16,0.31783802155061036,56.222892029991726,0.08849061169969237,64,0,0.5,0.5,0,0.5,0,,,,,,,,,,,
taps_admission,,,4,,37.107088489535386,,66.80819137943456,132.23524560375924,,0.695694551933019,,,,,,64,taps_admission,train,70.50458896142277,-0.12828478021518633,1.1104285176901736,,,,,,,,,,64,16,0.2862253393066397,80.81761441979481,0.08505868392148845,64,0,0.5,0.5,0,0.5,0.5,,,,,,,,,,,
taps_admission,,,4,,37.71986290118681,,63.34296489756872,132.20699401262578,,0.6967430393923529,,,,,,64,taps_admission,train,67.10061835208408,-0.06976258078484256,1.1136091633175835,,,,,,,,,,64,16,0.2866567120663842,82.72989613938418,0.09043755022400685,64,0,0.5,0.5,0,0.5,1.0,,,,,,,,,,,
taps_admission,,,4,,37.36765588585604,,65.531178442246,141.23083486190592,,0.8356502144958801,,,,,,64,taps_admission,train,69.25075370890647,-0.10671804967783981,1.5349918848520872,,,,,,,,,,64,16,0.34380643850259374,36.15852983057826,0.10257407657079734,64,0,0.5,0.5,1.0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pabb_snapshot,train,134.80287415402356,,,,,,,0.05,,,,,,,,,,,,,,,,,78.44487415402355,56358.0,2,2,0.5,0.8,1,2.0,1.0,0.5,1.5
,,,,,,,,,,,,,,,,,pabb_snapshot,train,134.80287415402356,,,,,,,0.05,,,,,,,,,,,,,,,,,78.44487415402355,56358.0,2,2,0.5,0.8,1,2.0,1.0,1.0,1.5
,,,,,,,,,,,,,,,,,pabb_snapshot,train,134.80287415402356,,,,,,,0.05,,,,,,,,,,,,,,,,,78.44487415402355,56358.0,2,2,0.5,0.8,1,2.0,1.0,2.0,1.5
,,,,,,,,,,,,,,,,,pabb_snapshot,train,134.80287415402356,,,,,,,0.05,,,,,,,,,,,,,,,,,78.44487415402355,56358.0,2,2,1.5,0.8,1,2.0,1.0,0.5,1.5
,,,,,,,,,,,,,,,,,pabb_snapshot,train,134.80287415402356,,,,,,,0.05,,,,,,,,,,,,,,,,,78.44487415402355,56358.0,2,2,1.5,0.8,1,2.0,1.0,1.0,1.5
,,,,,,,,,,,,,,,,,pabb_snapshot,train,134.80287415402356,,,,,,,0.05,,,,,,,,,,,,,,,,,78.44487415402355,56358.0,2,2,1.5,0.8,1,2.0,1.0,2.0,1.5
,,,,,,,,,,,,,,,,,pabb_snapshot,train,134.80287415402356,,,,,,,0.05,,,,,,,,,,,,,,,,,78.44487415402355,56358.0,2,2,3.0,0.8,1,2.0,1.0,0.5,1.5
,,,,,,,,,,,,,,,,,pabb_snapshot,train,134.80287415402356,,,,,,,0.05,,,,,,,,,,,,,,,,,78.44487415402355,56358.0,2,2,3.0,0.8,1,2.0,1.0,1.0,1.5
,,,,,,,,,,,,,,,,,pabb_snapshot,train,134.80287415402356,,,,,,,0.05,,,,,,,,,,,,,,,,,78.44487415402355,56358.0,2,2,3.0,0.8,1,2.0,1.0,2.0,1.5
