policy,sessions,arrival_pattern,effective_regions,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_batch_size,domain_switches,completed_sessions,domain_remote_kv_reduction,domain_p95_jct_gain,domain_mean_jct_gain,domain_ready_wait_gain
naive_wafer,8,poisson,4,0.06388988849864806,38.67261695415526,18.539314617556407,108.606237117493,121.60556623921661,24.15687838311634,0.17030957433976365,0.0,0.0,0.0,1.2597402597402598,54,8,0.42355831581771836,-0.0009727566688836953,0.0052738852466817695,0.08197675487928865
acd_nisp,8,poisson,4,0.06494447887015749,36.43417802860968,15.22376550387254,106.4531359608628,119.54831364210456,18.22160601453492,0.14882292952464232,0.9613645503320157,20516306944.0,1.0,1.2597402597402598,45,8,0.42355831581771836,-0.0009727566688836953,0.0052738852466817695,0.08197675487928865
taps_domain,8,poisson,4,0.06450719005513209,36.24202835462962,15.65290728552104,106.55668895879231,120.23705734297069,16.72785788477442,0.14773327713867726,0.9613645503320157,11826454528.0,1.0,1.2727272727272727,48,8,0.42355831581771836,-0.0009727566688836953,0.0052738852466817695,0.08197675487928865
naive_wafer,16,poisson,4,0.11907510927642945,41.22321309663408,30.80238606179081,100.47515892744221,127.38555450663173,266.5405397356551,0.28449229347661165,0.0,0.0,0.0,5.387096774193548,116,16,0.12817805808825208,0.013765611600976826,0.11291361630373936,0.30419008154232097
acd_nisp,16,poisson,4,0.12289142376035071,36.34639641337653,24.931736964729136,97.0005037656502,123.35242956251179,215.52649306482263,0.2417365083193749,0.9744640898916913,37641461760.0,1.0,5.283870967741936,107,16,0.12817805808825208,0.013765611600976826,0.11291361630373936,0.30419008154232097
taps_domain,16,poisson,4,0.1223962821198802,32.242393354732926,23.23989623638054,95.66523250571316,123.50673173406865,149.96547156490377,0.24056549414644685,0.97749703315357,32816652288.0,1.0,3.7096774193548385,87,16,0.12817805808825208,0.013765611600976826,0.11291361630373936,0.30419008154232097
naive_wafer,32,poisson,4,0.11418850270052996,72.85193700050552,63.821722621247176,125.5664494665512,233.67534468072893,1423.8629759745907,0.2818513714525346,0.0,0.0,0.0,15.692307692307692,260,32,0.36302621687805325,-0.13040703222193303,0.21589525669734055,0.37406691166588957
acd_nisp,32,poisson,4,0.11542114385310696,63.2518715103215,51.992727077236836,119.8992335703392,229.98612293007815,1167.5953162940154,0.23896490728983394,0.9817980457365009,88259469312.0,1.0,15.205128205128204,262,32,0.36302621687805325,-0.13040703222193303,0.21589525669734055,0.37406691166588957
taps_domain,32,poisson,4,0.11441907085076686,49.59609247401344,39.02805107336326,135.5349367859315,238.04004849590777,730.8365422523556,0.23668808180896708,0.9831363549768424,56218968064.0,1.0,9.201923076923077,201,32,0.36302621687805325,-0.13040703222193303,0.21589525669734055,0.37406691166588957
naive_wafer,64,poisson,4,0.1872451797834379,133.63757680442023,132.05057593407963,184.19712756993525,316.07539612327673,6748.139891689194,0.46855315832999567,0.0,0.0,0.0,35.35782747603834,551,64,0.4260948399215196,-0.2945358236647276,0.2911854126765597,0.3812662495772665
