config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,completed_sessions
aligned_v8:ts64:al8:er16:arrclosed_loop:mem64,64,8,16,closed_loop,64,reactive_admission,0.1725330904589566,43.93693550209082,90.29018162962343,203.96056311199027,0.0,0.32117736042838213,0.9852611128433734,0.3052171875771839,853356822528.0,16559915008,0,64
aligned_v8:ts64:al8:er16:arrclosed_loop:mem64,64,8,16,closed_loop,64,acd_nisp,0.1725330904589566,43.93693550209082,90.29018162962343,203.96056311199027,0.0,0.32117736042838213,0.9852611128433734,0.3052171875771839,853356822528.0,16559915008,0,64
aligned_v8:ts64:al8:er16:arrclosed_loop:mem64,64,8,16,closed_loop,64,taps_domain_v4,0.17266604567412355,43.87892066689082,90.2855168815914,203.93185960432947,0.0,0.3207987874538012,0.9852611128433734,0.3054523900924747,110766931968.0,16559915008,0,64
aligned_v8:ts64:al8:er16:arrclosed_loop:mem64,64,8,16,closed_loop,64,taps_admission_v4,0.17041903187561003,43.91336659666548,90.10151905845271,203.90209406208749,0.0,0.3169909175725999,0.9892532731191344,0.3014773425801103,860133220352.0,16559915008,0,64
aligned_v8:ts64:al8:er16:arrclosed_loop:mem64,64,8,16,closed_loop,64,taps_unified_v5,0.17059953218389476,43.85020873938548,90.09133639835666,203.8788376122443,0.0,0.31665324153905994,0.9892532731191344,0.30179665406004175,51712647168.0,16559915008,0,64
aligned_v8:ts64:al8:er16:arrclosed_loop:mem64,64,8,16,closed_loop,64,taps_unified_adaptive_v6,0.17059953218389476,43.85020873938548,90.09133639835666,203.8788376122443,0.0,0.31665324153905994,0.9892532731191344,0.30179665406004175,51712647168.0,16559915008,0,64
aligned_v8:ts64:al4:er1:arrclosed_loop:mem32,64,4,1,closed_loop,32,reactive_admission,0.10983424039995349,34.470281322725256,92.59841949965369,185.83468789414093,741.3091051893499,0.9594066332643979,0.9898827125171751,0.3886013733988589,0.0,16559915008,0,64
aligned_v8:ts64:al4:er1:arrclosed_loop:mem32,64,4,1,closed_loop,32,acd_nisp,0.10983424039995349,34.470281322725256,92.59841949965369,185.83468789414093,741.3091051893499,0.9594066332643979,0.9898827125171751,0.3886013733988589,0.0,16559915008,0,64
aligned_v8:ts64:al4:er1:arrclosed_loop:mem32,64,4,1,closed_loop,32,taps_domain_v4,0.11116156203976077,34.71032941103594,89.06310030287084,194.7568331407614,756.6721828412338,0.9710008426937101,0.9898827125171751,0.3932975319946929,0.0,16559915008,0,64
aligned_v8:ts64:al4:er1:arrclosed_loop:mem32,64,4,1,closed_loop,32,taps_admission_v4,0.10888469260774652,34.89878421034282,79.19589601132297,182.41611390744094,768.733289996874,0.9511122940207551,0.9898827125171751,0.38524180561001825,0.0,16559915008,0,64
