instance_id,policy,max_active_branches,max_steps_per_branch,time_to_first_file_modification,time_to_first_nonempty_patch,tokens_to_first_file_modification,tokens_to_first_nonempty_patch,cost_to_patch,branches_pruned,official_success_if_available,snapshot_events_available,file_modification_seen,oracle_gap,snapshot_gain_vs_fcfs,snapshot_gain_vs_pabb_v3
django__django-12308,pabb_online_v3,2,15,27.440584921781724,,36598,,,0,unknown,0,2,,,
django__django-12308,pabb_online_v3,4,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_online_v3,4,10,16.979948324425635,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_online_v3,4,15,16.979948324425635,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,1,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_snapshot_online,1,10,14.662938145055389,,27456,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,1,15,14.662938145055389,,27456,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,2,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_snapshot_online,2,10,25.780728684042412,,35525,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,2,15,27.440584921781724,,36598,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,4,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_snapshot_online,4,10,16.979948324425635,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_snapshot_online,4,15,16.979948324425635,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,1,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_oracle_upper_bound,1,10,4.877374595361328,,6547,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,1,15,4.877374595361328,,6547,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,2,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_oracle_upper_bound,2,10,8.506884146059752,,15349,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,2,15,8.506884146059752,,15349,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,4,5,,,,,,0,unknown,0,0,,,
django__django-12308,pabb_oracle_upper_bound,4,10,16.420396846993384,,30864,,,0,unknown,0,2,,,
django__django-12308,pabb_oracle_upper_bound,4,15,16.420396846993384,,30864,,,0,unknown,0,2,,,
django__django-12708,fcfs_budget,1,5,,,,,,0,unknown,0,0,,,
django__django-12708,fcfs_budget,1,10,12.80837044924317,,29883,,,0,unknown,0,2,,,
django__django-12708,fcfs_budget,1,15,6.001453187831658,,11759,,,0,unknown,0,3,,,
django__django-12708,fcfs_budget,2,5,,,,,,0,unknown,0,0,,,
django__django-12708,fcfs_budget,2,10,12.80837044924317,,29883,,,0,unknown,0,2,,,
django__django-12708,fcfs_budget,2,15,12.80837044924317,,29883,,,0,unknown,0,3,,,
django__django-12708,fcfs_budget,4,5,,,,,,0,unknown,0,0,,,
django__django-12708,fcfs_budget,4,10,15.83628997752922,,32645,,,0,unknown,0,2,,,
