objective,policy_a,policy_b,train_pairs,median_abs_error,p95_abs_error,split_type
throughput_opt,reactive_admission,taps_domain_v4,181,0.00034360733886087193,0.0035153307533640084,leave_session_16
balanced,reactive_admission,taps_domain_v4,181,0.047054658984786744,0.18757431983700873,leave_session_16
p95_opt,reactive_admission,taps_admission_v4,298,5.0074543381393966,22.270333986757585,leave_session_16
throughput_opt,reactive_admission,taps_admission_v4,298,0.013253595892256519,0.02792627752799172,leave_session_16
balanced,reactive_admission,taps_admission_v4,298,0.052353892665894325,0.2610004321670939,leave_session_16
p95_opt,reactive_admission,taps_unified_v5,143,2.6672266793681767,12.417753917358459,leave_session_16
throughput_opt,reactive_admission,taps_unified_v5,143,0.013735853316861307,0.03049299485983656,leave_session_16
balanced,reactive_admission,taps_unified_v5,143,0.041656517607441566,0.13794468878362703,leave_session_16
p95_opt,reactive_admission,taps_unified_adaptive_v6,143,2.694618524578647,12.486571152281149,leave_session_16
throughput_opt,reactive_admission,taps_unified_adaptive_v6,143,0.013164739226869143,0.030843541382760048,leave_session_16
balanced,reactive_admission,taps_unified_adaptive_v6,143,0.029239950758509894,0.13809590583736173,leave_session_16
p95_opt,acd_nisp,taps_domain_v4,181,4.398673813746246,17.117576744752878,leave_session_16
throughput_opt,acd_nisp,taps_domain_v4,181,0.00034360733886087193,0.0035153307533640084,leave_session_16
balanced,acd_nisp,taps_domain_v4,181,0.047054658984786744,0.18757431983700873,leave_session_16
p95_opt,acd_nisp,taps_admission_v4,298,5.0074543381393966,22.270333986757585,leave_session_16
throughput_opt,acd_nisp,taps_admission_v4,298,0.013253595892256519,0.02792627752799172,leave_session_16
balanced,acd_nisp,taps_admission_v4,298,0.052353892665894325,0.2610004321670939,leave_session_16
p95_opt,acd_nisp,taps_unified_v5,143,2.6672266793681767,12.417753917358459,leave_session_16
throughput_opt,acd_nisp,taps_unified_v5,143,0.013735853316861307,0.03049299485983656,leave_session_16
balanced,acd_nisp,taps_unified_v5,143,0.041656517607441566,0.13794468878362703,leave_session_16
p95_opt,acd_nisp,taps_unified_adaptive_v6,143,2.694618524578647,12.486571152281149,leave_session_16
throughput_opt,acd_nisp,taps_unified_adaptive_v6,143,0.013164739226869143,0.030843541382760048,leave_session_16
balanced,acd_nisp,taps_unified_adaptive_v6,143,0.029239950758509894,0.13809590583736173,leave_session_16
p95_opt,taps_domain_v4,taps_admission_v4,181,4.658254777053578,18.547608685989708,leave_session_16
throughput_opt,taps_domain_v4,taps_admission_v4,181,0.009130121039601476,0.027872077795524086,leave_session_16
balanced,taps_domain_v4,taps_admission_v4,181,0.05893252333094199,0.17158778170247385,leave_session_16
p95_opt,taps_domain_v4,taps_unified_v5,111,5.171334041482723,17.658836175770766,leave_session_16
throughput_opt,taps_domain_v4,taps_unified_v5,111,0.009639537463660162,0.030781663455777097,leave_session_16
balanced,taps_domain_v4,taps_unified_v5,111,0.05702142406548738,0.1653417931574459,leave_session_16
p95_opt,taps_domain_v4,taps_unified_adaptive_v6,111,4.87943721487636,20.531543566491628,leave_session_16
throughput_opt,taps_domain_v4,taps_unified_adaptive_v6,111,0.009981444706009212,0.03078499504202766,leave_session_16
balanced,taps_domain_v4,taps_unified_adaptive_v6,111,0.05419623119988884,0.19593416790891782,leave_session_16
p95_opt,taps_admission_v4,taps_unified_v5,143,2.2473248434573048,9.60393787886378,leave_session_16
throughput_opt,taps_admission_v4,taps_unified_v5,143,0.0006523551920816378,0.006293259455834601,leave_session_16
balanced,taps_admission_v4,taps_unified_v5,143,0.022923909571404305,0.11065319926995386,leave_session_16
p95_opt,taps_admission_v4,taps_unified_adaptive_v6,143,1.9209369675621963,8.536683685595854,leave_session_16
throughput_opt,taps_admission_v4,taps_unified_adaptive_v6,143,0.0007143888782208596,0.004693591075462241,leave_session_16
balanced,taps_admission_v4,taps_unified_adaptive_v6,143,0.01937677440152211,0.1004760712547655,leave_session_16
p95_opt,taps_unified_v5,taps_unified_adaptive_v6,138,1.870369186322757,9.672480145631548,leave_session_16
throughput_opt,taps_unified_v5,taps_unified_adaptive_v6,138,0.0002513317145005071,0.0028925038841646463,leave_session_16
balanced,taps_unified_v5,taps_unified_adaptive_v6,138,0.020893038997413065,0.10082323724634042,leave_session_16
p95_opt,reactive_admission,acd_nisp,244,1.0,0.0,leave_session_32
throughput_opt,reactive_admission,acd_nisp,244,1.0,0.0,leave_session_32
balanced,reactive_admission,acd_nisp,244,1.0,0.0,leave_session_32
p95_opt,reactive_admission,taps_domain_v4,156,3.200194043498061,13.65111419704014,leave_session_32
throughput_opt,reactive_admission,taps_domain_v4,156,0.000799250028881316,0.0036464681850816214,leave_session_32
balanced,reactive_admission,taps_domain_v4,156,0.03812355620068393,0.16344724076803474,leave_session_32
p95_opt,reactive_admission,taps_admission_v4,244,5.573176724711539,18.712551107623774,leave_session_32
throughput_opt,reactive_admission,taps_admission_v4,244,0.008736330322381351,0.026462912993428882,leave_session_32
