instance_id,budget_policy,max_active_branches,max_steps_per_branch,time_to_first_nonempty_patch,tokens_to_first_nonempty_patch,cost_to_first_nonempty_patch,duplicate_patch_rate,branches_pruned,official_success_if_available,verifier_unknown_count,total_tokens_used,total_tool_time,model_side_time,selected_branches,patch_nonempty_selected
django__django-12308,fcfs_budget,1,15,,,,0.0,4,unknown,1,25882,2.349590301513672,6.792645406780316,1,0
django__django-12308,fcfs_budget,2,5,,,,0.0,3,unknown,2,36936,2.546637707286411,7.442261667640281,2,0
django__django-12308,fcfs_budget,2,10,,,,0.0,3,unknown,2,70998,4.832209825515747,14.129784956749415,2,0
django__django-12308,fcfs_budget,2,15,,,,0.0,3,unknown,2,70998,4.832209825515747,14.129784956749415,2,0
django__django-12308,fcfs_budget,4,5,,,,0.0,1,unknown,4,74883,27.520811253123814,16.50707923886286,4,0
django__django-12308,fcfs_budget,4,10,,,,0.0,1,unknown,4,146894,54.78055691719055,32.25942009919457,4,0
django__django-12308,fcfs_budget,4,15,,,,0.0,1,unknown,4,146894,54.78055691719055,32.25942009919457,4,0
django__django-12308,pabb_budget,1,5,,,,0.0,4,fail,0,20992,2.7744547526041665,8.70003499849567,1,1
django__django-12308,pabb_budget,1,10,,,,0.0,4,fail,0,41984,5.548909505208333,17.40006999699134,1,1
django__django-12308,pabb_budget,1,15,33.17480278015137,62977,34.423469253299515,0.0,4,fail,0,62977,8.3233642578125,26.100104995487012,1,1
django__django-12308,pabb_budget,2,5,,,,0.0,3,fail,1,35370,4.07978269788954,12.473726891151403,2,1
django__django-12308,pabb_budget,2,10,,,,0.0,3,fail,1,67317,36.567013581593834,28.328595421641555,2,1
django__django-12308,pabb_budget,2,15,33.17480278015137,62977,34.423469253299515,0.0,3,fail,1,88310,39.341468334198,37.028630420137226,2,1
django__django-12308,pabb_budget,4,5,,,,0.0,1,fail,3,70594,20.830144498083328,21.606559378461057,4,1
django__django-12308,pabb_budget,4,10,,,,0.0,1,fail,3,138315,41.39922340710958,42.45838037839097,4,1
django__django-12308,pabb_budget,4,15,33.17480278015137,62977,34.423469253299515,0.0,1,fail,3,159308,44.173678159713745,51.158415376886644,4,1
django__django-12708,launch_all,1,5,,,,0.0,0,unknown,5,101292,6.356589264339871,24.375811354775596,5,0
django__django-12708,launch_all,1,10,,,,0.0,0,unknown,5,197754,12.204838752746582,46.945135472968374,5,0
django__django-12708,launch_all,1,15,,,,0.0,0,unknown,5,221246,13.138093709945679,50.80834871952346,5,0
django__django-12708,launch_all,2,5,,,,0.0,0,unknown,5,101292,6.356589264339871,24.375811354775596,5,0
django__django-12708,launch_all,2,10,,,,0.0,0,unknown,5,197754,12.204838752746582,46.945135472968374,5,0
django__django-12708,launch_all,2,15,,,,0.0,0,unknown,5,221246,13.138093709945679,50.80834871952346,5,0
django__django-12708,launch_all,4,5,,,,0.0,0,unknown,5,101292,6.356589264339871,24.375811354775596,5,0
django__django-12708,launch_all,4,10,,,,0.0,0,unknown,5,197754,12.204838752746582,46.945135472968374,5,0
django__django-12708,launch_all,4,15,,,,0.0,0,unknown,5,221246,13.138093709945679,50.80834871952346,5,0
django__django-12708,fcfs_budget,1,5,,,,0.0,4,unknown,1,12658,1.2791823016272652,4.834974542338688,1,0
django__django-12708,fcfs_budget,1,10,,,,0.0,4,unknown,1,22785,2.302528142929077,8.702954176209637,1,0
django__django-12708,fcfs_budget,1,15,,,,0.0,4,unknown,1,22785,2.302528142929077,8.702954176209637,1,0
django__django-12708,fcfs_budget,2,5,,,,0.0,3,unknown,2,38213,2.6644596921073065,9.624234342222486,2,0
django__django-12708,fcfs_budget,2,10,,,,0.0,3,unknown,2,73896,5.07308292388916,18.281473775977233,2,0
