mode,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,prompt_tokens_delta,cached_prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,metrics_error
prefix,1024,1037,512,520,4,128,0,1.2596983909606934,1.2410241961479187,True,3072,4,0,ok,,6344.0,6336.0,25392.0,6336.0,1608.0,0.0,0.0,0.0,92.00006580352783,92.06476092338562,80.57906794548035,72.25674676895142,84.03605580329895,154.54193878173828,
prefix,1024,1037,512,520,4,128,1,1.2580006122589111,1.2397969961166382,True,3072,4,0,ok,,6344.0,6336.0,25392.0,6336.0,1608.0,0.0,0.0,0.0,92.00004577636719,92.06016492843628,80.58768081665039,73.24587440490723,84.03612351417542,154.534686088562,
prefix,1024,1037,512,520,4,128,2,1.2508249282836914,1.2356372475624084,True,3072,4,0,ok,,6344.0,6336.0,25392.0,6336.0,1608.0,0.0,0.0,0.0,92.00006890296936,92.04909586906433,80.58516120910645,76.22283053398132,84.03610348701477,154.46341609954834,
prefix,1024,1037,512,520,8,128,0,1.3772108554840088,1.341247946023941,True,7168,8,0,ok,,12688.0,12672.0,50784.0,12672.0,3216.0,0.0,0.0,0.0,184.000328540802,184.20159459114075,161.41726851463318,135.78586530685425,168.07415175437927,310.72166633605957,
prefix,1024,1037,512,520,8,128,1,1.3749785423278809,1.323535531759262,True,7168,8,0,ok,,12688.0,12672.0,50784.0,12672.0,3216.0,0.0,0.0,0.0,184.00013327598572,184.12990427017212,161.37135195732117,137.65559148788452,168.07379007339478,310.203763961792,
prefix,1024,1037,512,520,8,128,2,1.3792684078216553,1.3252340257167816,True,7168,8,0,ok,,12688.0,12672.0,50784.0,12672.0,3216.0,0.0,0.0,0.0,184.00012946128845,184.12921476364136,161.38729166984558,138.64544343948364,168.07391571998596,310.1813383102417,
prefix,1024,1036,1024,1032,2,128,0,1.2246806621551514,1.213760495185852,True,1024,2,0,ok,,4194.0,4192.0,16788.0,4192.0,804.0,0.0,0.0,0.0,46.000020265579224,46.030662536621094,40.291799545288086,38.09226107597351,42.01804566383362,77.16124629974365,
prefix,1024,1036,1024,1032,2,128,1,1.2357511520385742,1.2191401720046997,True,1024,2,0,ok,,4194.0,4192.0,16788.0,4192.0,804.0,0.0,0.0,0.0,46.00001072883606,46.02954864501953,40.28540778160095,38.09153342247009,42.01799535751343,77.14201354980469,
prefix,1024,1036,1024,1032,2,128,2,1.2314882278442383,1.2185089588165283,True,1024,2,0,ok,,4194.0,4192.0,16788.0,4192.0,804.0,0.0,0.0,0.0,46.00001287460327,46.02984976768494,40.297420024871826,38.09117937088013,42.01809000968933,77.17703533172607,
prefix,1024,1036,1024,1032,4,128,0,1.2982754707336426,1.2780323028564453,True,3072,4,0,ok,,8388.0,8384.0,33576.0,8384.0,1608.0,0.0,0.0,0.0,92.00006031990051,92.0689902305603,80.68584251403809,72.29169154167175,84.03689646720886,154.96436023712158,
prefix,1024,1036,1024,1032,4,128,1,1.2954511642456055,1.2687833309173584,True,3072,4,0,ok,,8388.0,8384.0,33576.0,8384.0,1608.0,0.0,0.0,0.0,92.00004696846008,92.06968855857849,80.68136668205261,73.25525307655334,84.03686118125916,154.83567905426025,
prefix,1024,1036,1024,1032,4,128,2,1.3130528926849365,1.2871110439300537,True,3072,4,0,ok,,8388.0,8384.0,33576.0,8384.0,1608.0,0.0,0.0,0.0,92.00004196166992,92.06784796714783,80.71093273162842,72.28526830673218,84.03709387779236,155.02405261993408,
prefix,1024,1036,1024,1032,8,128,0,1.3817410469055176,1.3424203991889954,True,7168,8,0,ok,,16776.0,16768.0,67152.0,16768.0,3216.0,0.0,0.0,0.0,184.00014567375183,184.146812915802,161.5046317577362,136.67729306221008,168.07483959197998,310.68495082855225,
prefix,1024,1036,1024,1032,8,128,1,1.4024009704589844,1.3482137024402618,True,7168,8,0,ok,,16776.0,16768.0,67152.0,16768.0,3216.0,0.0,0.0,0.0,184.00012707710266,184.14659786224365,161.4984757900238,136.70297837257385,168.07479119300842,310.73040771484375,
